"countryCode_ISO3","level","lon","lat"
"JPN",0,138.030337243215,36.7246752922553
"JEY",0,-2.13272910942452,49.2138426734217
"JOR",0,36.7936364865772,31.2625043813719
"KAZ",0,67.2909139549499,48.4373960540508
"KEN",0,37.843969312614,0.555252098774334
"KIR",0,-157.352781205866,1.84994005044233
"KWT",0,47.5759280888767,29.3295043138324
"KGZ",0,74.5451658491277,41.4834550641746
"LAO",0,103.748023915161,18.534740598069
"LVA",0,24.9277813531902,56.8631670934224
"LBN",0,35.8929254473023,33.9224730868759
"LSO",0,28.2458080954155,-29.5861207920527
"LBR",0,-9.30837949773886,6.44794049665773
"LBY",0,18.0037317531752,27.1644304330026
"LIE",0,9.55352557413276,47.1412606070262
"LTU",0,23.9041475995035,55.3486630859184
"LUX",0,6.09401852430299,49.7774215397201
"MDG",0,46.6777060405687,-19.4770910325913
