"wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_verified_author","wcvp_verified_speciesName","wcvp_searchNotes"
,,,,,,,,"Chlorocarpa pentaschista",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus kunstleri var. tomentosus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus alpinus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus scortechinii",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus kunstleri var. tomentosus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus alpinus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus saigonensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus curtisii",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus pentandrus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus saigonensis",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus ilicifolius",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus pentandrus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus calophyllus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus ilicifolius",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus pentandrus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus calophyllus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus ilicifolius",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus pentandrus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus subfalcatus",,,,0,0,"Not found"
,,,,,,,,"Hydnocarpus macrocarpus subsp. malabaricus",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Rawsonia lucida",,,,0,0,"Not found"
,,,,,,,,"Dasylepis racemosa",,,,0,0,"Not found"
,,,,,,,,"Oncoba lophocarpa",,,,0,0,"Not found"
,,,,,,,,"Oncoba lophocarpa",,,,0,0,"Not found"
,,,,,,,,"Kuhlmanniodendron apterocarpum",,,,0,0,"Not found"
,,,,,,,,"Lindackeria laurina",,,,0,0,"Not found"
,,,,,,,,"Mayna suaveolens",,,,0,0,"Not found"
,,,,,,,,"Carpotroche platyptera",,,,0,0,"Not found"
,,,,,,,,"Mayna hystricina",,,,0,0,"Not found"
,,,,,,,,"Mayna hystricina",,,,0,0,"Not found"
,,,,,,,,"Mayna suaveolens",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Carpotroche grandiflora",,,,0,0,"Not found"
,,,,,,,,"Carpotroche surinamensis",,,,0,0,"Not found"
,,,,,,,,"Carpotroche crispidentata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paraensis",,,,0,0,"Not found"
,,,,,,,,"Lindackeria ovata",,,,0,0,"Not found"
,,,,,,,,"Carpotroche froesiana",,,,0,0,"Not found"
,,,,,,,,"Lindackeria pauciflora",,,,0,0,"Not found"
,,,,,,,,"Mayna suaveolens",,,,0,0,"Not found"
,,,,,,,,"Carpotroche grandiflora",,,,0,0,"Not found"
,,,,,,,,"Lindackeria latifolia",,,,0,0,"Not found"
,,,,,,,,"Mayna odorata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Mayna odorata",,,,0,0,"Not found"
,,,,,,,,"Carpotroche integrifolia",,,,0,0,"Not found"
,,,,,,,,"Lindackeria pauciflora",,,,0,0,"Not found"
,,,,,,,,"Mayna odorata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria latifolia",,,,0,0,"Not found"
,,,,,,,,"Mayna odorata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria ovata",,,,0,0,"Not found"
,,,,,,,,"Carpotroche crispidentata",,,,0,0,"Not found"
,,,,,,,,"Lindackeria latifolia",,,,0,0,"Not found"
,,,,,,,,"Oncoba flagelliflora",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Lindackeria paludosa",,,,0,0,"Not found"
,,,,,,,,"Dasylepis racemosa",,,,0,0,"Not found"
,,,,,,,,"Oncoba ovalis",,,,0,0,"Not found"
,,,,,,,,"Oncoba ovalis",,,,0,0,"Not found"
,,,,,,,,"Ceratiosicyos laevis",,,,0,0,"Not found"
,,,,,,,,"Guthriea capensis",,,,0,0,"Not found"
,,,,,,,,"Guthriea capensis",,,,0,0,"Not found"
,,,,,,,,"Acharia tragodes",,,,0,0,"Not found"
,,,,,,,,"Acharia tragodes",,,,0,0,"Not found"
,,,,,,,,"Ceratiosicyos laevis",,,,0,0,"Not found"
,,,,,,,,"Guthriea capensis",,,,0,0,"Not found"
,,,,,,,,"Ceratiosicyos laevis",,,,0,0,"Not found"
,,,,,,,,"Guthriea capensis",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Dasylepis thomasii",,,,0,0,"Not found"
,,,,,,,,"Oncoba flagelliflora",,,,0,0,"Not found"
,,,,,,,,"Lindackeria dentata",,,,0,0,"Not found"
,,,,,,,,"Oncoba echinata",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Caloncoba gilgiana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. klaineana",,,,0,0,"Not found"
,,,,,,,,"Poggea stenura",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. mimfiensis",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Scottellia orientalis",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Dasylepis integra",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. mimfiensis",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. klaineana",,,,0,0,"Not found"
,,,,,,,,"Scottellia orientalis",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. mimfiensis",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. mimfiensis",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. klaineana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. klaineana",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana var. klaineana",,,,0,0,"Not found"
,,,,,,,,"Scottellia leonensis",,,,0,0,"Not found"
,,,,,,,,"Scottellia klaineana",,,,0,0,"Not found"
,,,,,,,,"Poggea stenura",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
,,,,,,,,"Kiggelaria africana",,,,0,0,"Not found"
