"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"CABRERA","ANGEL L. CABRERA;NÉLIDA M. BACIGALUPO;SILVIA M. BOTTA",,"",,,,,
"CABRERA","ANGEL L. CABRERA;SILVIA M. BOTTA",,"",,,,,
"CABRERA","CHIANG CABRERA, FERNANDO",,"",,,,,
"CABRERA","E. CABRERA C.; O. CANUL",,"",,,,,
"CABRERA","E. CABRERA; O. CANUL",,"",,,,,
"CABRERA","E. F. CABRERA C.; O. CANUL",,"",,,,,
"CABRERA","EDGAR FCO. CABRERA C.;O. CANUL",,"",,,,,
"CADENA","CADENA",,"",,,,,
"CALAWAY","CALAWAY H. DODSON;ET AL.",,"",,,,,
"CALIXTO","CALIXTO LEÓN G.",,"",,,,,
"CALONICO","JORGE CALÓNICO SOTO; O. TÉLLEZ; A. DOMÍNGUEZ M.",,"",,,,,
"CALONICO-SOTO","JORGE CALÓNICO-SOTO; O. TÉLLEZ V., A. DOMÍNGUEZ M., J. MARTÍNEZ C.",,"",,,,,
"CAMILO","CAMILO DÍAZ S.;M. SEVERO BALDEÓN",,"",,,,,
"CAMPOS","A. CAMPOS V.; RAFAEL TORRES COLÍN; L. CORTÉS",,"",,,,,
"CAMPOS","C. CAMPOS;ALEJANDRO ARAUJO M.;A. ANTEZANA;D. CHOQUE A.;VANIA TORREZ;GERARDO JOVE;REMBERTO JOVE;C. PÉREZ",,"",,,,,
"CAMPOS","C. CAMPOS;ALEJANDRO ARAUJO M.;A. ANTEZANA;D. CHOQUE A.;VANIA TORREZ;REMBERTO JOVE;C. PÉREZ",,"",,,,,
"CAMPOS","J. CAMPOS & W. VARGAS",,"",,,,,
"CAMPOS","J. CAMPOS, W. VARGAS",,"",,,,,
"CAMPOS","JOSÉ CAMPOS DE LA CRUZ;O. DÍAZ",,"",,,,,
"CAMPOS","JOSÉ CAMPOS DE LA CRUZ;W. VARGAS",,"",,,,,
"CANQUI","F. CANQUI;ALEJANDRO ARAUJO M.;HÉCTOR CABRERA;M.H. CALZADILLA;L. CAYOLA;CARLA MALDONADO;NAREL PANIAGUA ZAMBRANA;REMBERTO ALVAREZ;ANTONIO ÁLVAREZ;MARIO ÁLVAREZ",,"",,,,,
"CARDONA","EDSON CARDONA",,"",,,,,
"CARDOZO","CARDOZO, A.P.;TEMPONI, L.G.,MARCON, T.R.",,"",,,,,
"CARLOS","CARLOS E. CERÓN;MERY MONTESDEOCA;A. BASTIDAS;VEGA, V.",,"",,,,,
"CARMEN","CARMEN DEL RÍO",,"",,,,,
"CARNEVALI","G. CARNEVALI; A. ESPEJO; A.R. LÓPEZ-FERRARI; F. MAY; I. OJEDA",,"",,,,,
"CARNEVALI","GERMÁN CARNEVALI;A. ESPEJO S.;ANA ROSA LÓPEZ-FERRARI;FILOGONIO MAY PAT;ISIDRO OJEDA",,"",,,,,
"CAROL","CAROL BUSH; DAVID BLANKENSHIP",,"",,,,,
"CARRION","A.M. CARRIÓN;E. RAMOS",,"",,,,,
"CARTER","A. CARTER & R. S. FERRIS",,"",,,,,
"CARTER","A. CARTER; R. FERRIS",,"",,,,,
"CARTER","A. M. CARTER",,"",,,,,
"CASTANO","A. CASTAÑO N.;J. ADARVE",,"",,,,,
"CASTANO","CASTAÑO, A;DEVIA, W",,"",,,,,
"CASTILLO","G. CASTILLO C.; M. E. MEDINA",,"",,,,,
"CASTILLO","G. CASTILLO C.; M.E. MEDINA A.",,"",,,,,
"CASTILLO","G. CASTILLO C.; P. P. MORENO; A. GONZÁLEZ",,"",,,,,
"CASTILLO","G. CASTILLO C.; P. ZAMORA C.",,"",,,,,
"CASTILLO","G. CASTILLO C.; P. ZAMORA C.; A. GONZÁLEZ",,"",,,,,
"CASTILLO","G. CASTILLO C.; P. ZAMORA C.; F. GONZÁLEZ",,"",,,,,
"CASTILLO","G. CASTILLO C.; R. ACEVEDO",,"",,,,,
"CASTILLO","G. CASTILLO C.; R. ACEVEDO R.,  J. L. MARTINEZ",,"",,,,,
"CASTILLO","G. CASTILLO C.; R. ACEVEDO R.; J. L. MARTÍNEZ",,"",,,,,
"CASTILLO","G. CASTILLO C.;M. E. MEDINA",,"",,,,,
"CASTILLO","G. CASTILLO C.;RAÚL ACEVEDO R.;J. L. MARTINEZ",,"",,,,,
"CASTILLO","G. CASTILLO; C. R. ACEVEDO R.ETAL.",,"",,,,,
"CASTILLO","JORGE MEAVE DEL CASTILLO; E. A. PÉREZ G.",,"",,,,,
"CASTILLO","JUAN JOSÉ CASTILLO MONT",,"",,,,,
"CASTILLO-CAMPOS","G. CASTILLO-CAMPOS; J. BECERRA Z.",,"",,,,,
"CASTILLO-CAMPOS","G. CASTILLO-CAMPOS; M. E. MEDINA A.; R. A. PALESTINA G.",,"",,,,,
"CASTILLO-CAMPOS","G. CASTILLO-CAMPOS; P. MORENO-CASASOLA; A. GONZÁLEZ B.",,"",,,,,
"CASTILLO-CAMPOS","G. CASTILLO-CAMPOS; P. ZAMORA C.; A. GONZÁLEZ B.",,"",,,,,
"CASTILLO-CAMPOS","G. CASTILLO-CAMPOS; P. ZAMORA C.; F. GONZÁLEZ",,"",,,,,
"CASTILLO-CAMPOS","GONZALO CASTILLO-CAMPOS;RAÚL ACEVEDO R.;J.L. MARTÍNEZ PEREZ",,"",,,,,
"CASTREJON","CASTREJÓN R.; J.F.; MARTÍNEZ S.; E.; ELORSA C.; M.",,"",,,,,
"CASTREJON","CASTREJÓN R.; J.F.; MARTÍNEZ S.; ELORSA C.; M.",,"",,,,,
"CASTREJON","CASTREJÓN R.;M.,E.,J.F.,MARTÍNEZ S.,ELORSA C.",,"",,,,,
"CASTREJON","CASTREJÓN R.;M.,J.F.,MARTÍNEZ S.,ELORSA C.",,"",,,,,
"CASTREJON","JAVIER F. CASTREJÓN R.;ESTEBAN M. MARTÍNEZ S.;MISAEL ELORSA C.",,"",,,,,
"CASTRO","A. FRÍAS CASTRO; R. RAMÍREZ DELGADILLO; L. HERNÁNDEZ; FRANCISCO JAVIER RENDÓN SANDOVAL",,"",,,,,
"CASTRO","CASTRO, M.",,"",,,,,
"CASTRO","M. CASTRO",,"",,,,,
"CAVALHEIRO","A.L. CAVALHEIRO",,"",,,,,
"CAVALHEIRO","A.L.CAVALHEIRO",,"",,,,,
"CAVALHEIRO","CAVALHEIRO, AL;CAVALHEIRO, A.L.",,"",,,,,
"CAXAMBU","M.G. CAXAMBÚ",,"",,,,,
"CAYOLA","L. CAYOLA;ANGEL FERNÁNDEZ;C. CAMPOS;VANIA TORREZ;GERARDO JOVE;REMBERTO JOVE;L. SÁNCHEZ;ET AL.",,"",,,,,
"CAYOLA","L. CAYOLA;C. CAMPOS;A.S. POMA C.;REMBERTO JOVE;H. URBANO;ET AL.",,"",,,,,
"CAYOLA","L. CAYOLA;ET AL.",,"",,,,,
"CEDILLO","R. CEDILLO T.; R. TORRES-COLÍN",,"",,,,,
"CEDILLO","REFUGIO CEDILLO TRIGOS; DAVID H. LORENCE",,"",,,,,
"CEDILLO","REFUGIO CEDILLO TRIGOS; RAFAEL TORRES COLÍN",,"",,,,,
"CEGEN","CEGEN",,"",,,,,
"CERVANTES","E. CERVANTES;E. PORTAL;JEANETH VILLALOBOS",,"",,,,,
"CERVANTES","E. CERVANTES;JEANETH VILLALOBOS",,"",,,,,
"CERVANTES","LUIS M. CERVANTES S.",,"",,,,,
"CHAVELAS","J. CHAVELAS P.; C. ZAMORA S.; G. SORIA R.",,"",,,,,
"CHAZARO","M. CHÁZARO B.; H. OLIVA R.",,"",,,,,
"CHAZARO","M. CHÁZARO B.; J. L. TAPIA M.",,"",,,,,
