"Ctrl_nameRecordedBy_Standard","Ctrl_recordedBy","Ctrl_notes","collectorDictionary","Ctrl_update","collectorName","Ctrl_fullName","Ctrl_fullNameII","CVStarrVirtualHerbarium_PersonDetails"
"MARTINEZ","F. MARTÍNEZ MARTÍNEZ;G. BORJA LUVANDO",,"",,,,,
"MARTINEZ","F. MARTÍNEZ; G. BORJA LUYANDO",,"",,,,,
"MARTINEZ","ISAÍAS MARTÍNEZ",,"",,,,,
"MARTINEZ","J. MARTÍNEZ G.; ET AL.",,"",,,,,
"MARTINEZ","J. MARTÍNEZ G.; F. VÁZQUEZ B.",,"",,,,,
"MARTINEZ","J. MARTÍNEZ G.; M. NEE; K. TAYLOR",,"",,,,,
"MARTINEZ","J. MARTÍNEZ G.; R. ACOSTA P.",,"",,,,,
"MARTINEZ","J. MARTÍNEZ GARCÍA; GAMA L.; T. MEJÍA; F. VÁSQUEZ",,"",,,,,
"MARTINEZ","J. MARTÍNEZ GARCÍA; M. NEE; K. TAYLOR",,"",,,,,
"MARTINEZ","J. MARTÍNEZ GARCÍA; R. ACOSTA P.",,"",,,,,
"MARTINEZ","J. MARTÍNEZ M.",,"",,,,,
"MARTINEZ","M. MARTÍNEZ Y D. DE S.; M. MARTÍNEZ-HERNÁNDEZ; L.G. HERNÁNDEZ S.",,"",,,,,
"MARTINEZ","M. MARTÍNEZ; E.M. MARTÍNEZ; L. HERNÁNDEZ",,"",,,,,
"MARTINEZ","MAHINDA MARTÍNEZ; MANUEL MTZ.; L. HERNÁNDEZ",,"",,,,,
"MARTINEZ","MAHINDA MARTÍNEZ;M. MARTÍNEZ;LUIS HERNÁNDEZ SANDOVAL",,"",,,,,
"MARTINEZ","MARTÍNEZ S.; E.; ALVAREZ, D; RAMIREZ, S",,"",,,,,
"MARTINEZ","MARTÍNEZ S.;E.,ALVAREZ, D.,RAMIREZ, S.",,"",,,,,
"MARTINEZ","MARTÍNEZ,I.",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; F. VÁZQUEZ B.",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; L. GAMA C.; M.T. MEJÍA-SAULÉS; F. VÁZQUEZ B.",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; L. GAMA; T. MEJÍA S.; F. VÁSQUEZ",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; M. NEE; K. TAYLOR",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; R. ACOSTA",,"",,,,,
"MARTINEZ-GARCIA","J. MARTÍNEZ-GARCÍA; R. ACOSTA P.",,"",,,,,
"MARULANDA","MARULANDA O.;LÓPEZ C.;LÓPEZ M.;IDÁRRAGA A.;MONTOYA M.",,"",,,,,
"MASON","MASON, H.L.",,"",,,,,
"MATURO","MATURO, H.",,"",,,,,
"MCVAUGH","ROGERS MCVAUGH & WALTER N. KOELZ",,"",,,,,
"MEAVE","JORGE A. MEAVE;EDUARDO A. PÉREZ-GARCÍA",,"",,,,,
"MEDEIROS","A.S. MEDEIROS",,"",,,,,
"MEDINA","M. E. MEDINA A.",,"",,,,,
"MELENDEZ","E. MELÉNDEZ L.; M.N. MORENO; R. REYES",,"",,,,,
"MELENDEZ","EMERIT MELÉNDEZ L.; MA. NEREYDA MORENO; ROBERTO REYES",,"",,,,,
"MELENDEZ","MARTINEZ MELENDEZ, NAYELY",,"",,,,,
"MELENDEZ","MELENDEZ, JORGE MARTINEZ",,"",,,,,
"MELLO-SILVA","MELLO-SILVA, R; FORZZA, RC; MARCATO, AC",,"",,,,,
"MELLO-SILVA","MELLO-SILVA, R;MARCATO, A.C.,MELLO-SILVA, R.,FORZZA, R.C.",,"",,,,,
"MELLO-SILVA","R. MELLO-SILVA;R.C. FORZZA,A.C. MARCATO",,"",,,,,
"MELO","MELO, E.;KELLER, H.A.",,"",,,,,
"MENACHO","M. MENACHO;Z. LÓPEZ",,"",,,,,
"MENDEZ","M. MÉNDEZ G.; P. SIMÁ P.",,"",,,,,
"MENDEZ","M. MÉNDEZ; P. SIMÁ",,"",,,,,
"MENDOZA","MENDOZA, HUMBERTO;REPIZZO, AUGUSTO;GORDILLO, H.",,"",,,,,
"MERELES","FÁTIMA MERELES;ROSA DEGEN",,"",,,,,
"MICHAEL","MICHAEL H. NEE;A. MOLINA O.",,"",,,,,
"MICHAEL","MICHAEL H. NEE;D. VILLARROEL;OSCAR COLQUE",,"",,,,,
"MICHAEL","MICHAEL H. NEE;G. COIMBRA S.",,"",,,,,
"MICHAEL","MICHAEL H. NEE;ISRAEL G. VARGAS C.",,"",,,,,
"MICHAEL","MICHAEL H. NEE;IVAN LINNEO",,"",,,,,
"MICHAEL","MICHAEL H. NEE;K. TAYLOR",,"",,,,,
"MICHAEL","MICHAEL H. NEE;MARIO SALDIAS P.",,"",,,,,
"MICHAEL","MICHAEL H. NEE;MOISES MENDOZA",,"",,,,,
"MICHAEL","MICHAEL H. NEE;W. ROBLETO T.",,"",,,,,
"MICHAEL","MICHAEL NEE;K TAYLOR",,"",,,,,
"MICHEL","MICHEL;ET AL.",,"",,,,,
"MIKICH","MIKICH, SB",,"",,,,,
"MINK","J.N. MINK",,"",,,,,
"MOLAS","LIDIA PÉREZ DE MOLAS;VICTOR VERA",,"",,,,,
"MOLINA","SAMUEL MOLINA BENDE",,"",,,,,
"MONRO","MONRO,A.K., CARBALLO,R.A., CASTANEDA,H. & DE LÓPEZ,C.",,"",,,,,
"MONTOYA","MONTOYA M.",,"",,,,,
"MORA-LOPEZ","J.L. MORA-LÓPEZ",,"",,,,,
"MORA-OLIVO","A. MORA-OLIVO",,"",,,,,
"MORAES","MÓNICA MORAES;ET AL.",,"",,,,,
"MORALES","J. MORALES CAN;MERVIN PÉREZ;EDSON CARDONA",,"",,,,,
"MOREL","MOREL I",,"",,,,,
"MOREL","MOREL J.",,"",,,,,
"MOREL","MOREL, I.",,"",,,,,
"MORENO","MORENO GAONA, D. A.;DÍAZ PÉREZ, C. N.;GIL NOVOA, J. E.;OLAYA, A.;J. A.",,"",,,,,
"MORENO","P. MORENO; J. HENRICH",,"",,,,,
"MORENO","P. P. MORENO;JAMES E. HENRICH",,"",,,,,
"MORENO","PEDRO P. MORENO",,"",,,,,
"MORRONE","OSVALDO MORRONE;NORMA B. DEGINANI;ANA M. CIALDELLA",,"",,,,,
"MORRONE","OSVALDO MORRONE;NORMA B. DEGINANI;SANDRA S. ALISCIONI",,"",,,,,
"MOSQUEIRA","E. MOSQUEIRA;I. LOZA;E. RENJIFO;R. VILLANUEVA;LANDER CUEVAS",,"",,,,,
"MRG","MRG; MEGA",,"",,,,,
"MRG","MRG; MEGA; AYVC",,"",,,,,
"MRG","MRG; MEGA; PMM",,"",,,,,
"MULGURA","MARÍA E. MÚLGURA;SANDRA S. ALISCIONI;MANUEL J. BELGRANO;ANDRES E. JOHNSON;M.A. ROMERO",,"",,,,,
"MULGURA","MÚLGURA DE ROMERO, ME; ALISCIONI, SS; BELGRANO, MJ; JOHNSON, AE; ROMERO, M",,"",,,,,
"MULGURA","MÚLGURA DE ROMERO, ME;JOHNSON, A.E.,ROMERO, M.,BELGRANO, M.J.,ROMERO,,ALISCIONI, S.S.,MÚLGURA DE ROMERO, M.E.",,"",,,,,
"NARVAEZ","ALFONSO MEDEL NARVAEZ",,"",,,,,
"NARVAEZ","NARVÁEZ",,"",,,,,
"NASCIMENTO","NASCIMENTO, M.T; RABELO, G.R",,"",,,,,
"NAVA-ZAFRA","A. NAVA-ZAFRA; A. SÁNCHEZ M.; K. VELASCO-GUTIÉRREZ",,"",,,,,
"NAVARRO","G. NAVARRO;ET AL.",,"",,,,,
"NAVARRO","J. J. PÉREZ NAVARRO",,"",,,,,
"NAVARRO","NAVARRO, G.",,"",,,,,
"NEE","M. NEE & I. LINNEO",,"",,,,,
"NEE","M. NEE & M. SALDIAS P.",,"",,,,,
"NEE","M. NEE, B.F. HANSEN",,"",,,,,
"NEE","M. NEE, D. VILLARROEL & O. COLQUE",,"",,,,,
"NEE","M. NEE, M. SALIDAS P.",,"",,,,,
"NEE","M. NEE; B.F. HANSEN",,"",,,,,
"NEE","M. NEE; BRUCE F. HANSEN",,"",,,,,
"NEE","M. NEE; W. ROBLETO TÉLLEZ",,"",,,,,
"NEE","M. NÉE & K. TAYLOR",,"",,,,,
"NEE","M.NEE ET AL.",,"",,,,,
"NEE","NEE, M; TAYLOR, K",,"",,,,,
"NEFFA","NEFFA, S.",,"",,,,,
"NEILL","DAVID A. NEILL;TAMARA NÚÑEZ",,"",,,,,
"NEILL","DAVID A. NEILL;TAMARA NÚÑEZ;J. MACHUCA",,"",,,,,
"NEILL","DAVID NEILL",,"",,,,,
"NELSON","E. W. NELSON & E. A. GOLDMAN",,"",,,,,
"NEOVIS","NEOVIS DE LÓPEZ",,"",,,,,
"NOVARA","LÁZARO J. NOVARA;ET AL.",,"",,,,,
"NOVARA","NOVARA, L. J.",,"",,,,,
"NUNEZ","JOSÉ C. SOTO NÚÑEZ; SERGIO ZÁRATE P.",,"",,,,,
"NUNEZ","JOSÉ C. SOTO NÚÑEZ;SERGIO ZÁRATE P.",,"",,,,,
"NUNEZ","NUÑEZ, JCS; SOTO, AR; ROMÁN, FS",,"",,,,,
"NUNEZ","NUÑEZ, JCS;NUÑEZ, J.C.S.,SOTO, A.R.,ROMÁN, F.S.",,"",,,,,
"OLIVA","H. OLIVA; F. RAMÓN F.",,"",,,,,
"ORTEGA","J. ORTEGA",,"",,,,,
"ORTIZ","S. ORTIZ;G. CASTRO",,"",,,,,
"ORTIZ-MATINEZ","T. DE J. ORTÍZ-MATÍNEZ",,"",,,,,
"OSPINA","C. OSPINA; J. CABEZAS; O. LLANOS; B. VILLANUEVA",,"",,,,,
"OSTEN","OSTEN, C",,"",,,,,
"PAINTER","J. T. PAINTER; F. A. BARKLEY",,"",,,,,
"PAINTER","JOSEPH T. PAINTER;FRED A. BARKLEY",,"",,,,,
"PALACIOS","WALTER A. PALACIOS;DANIEL RUBIO",,"",,,,,
"PALMER","PALMER, E.",,"",,,,,
"PARADA","G.A. PARADA;V.D.  ROJAS",,"",,,,,
"PARADA","G.A. PARADA;V.D.  ROJAS;M. BETANCUR;M. HUANCA",,"",,,,,
"PARADA","G.A. PARADA;Y. INTURIAS;M. BETANCUR",,"",,,,,
"PARKS","H. B. PARKS",,"",,,,,
"PARKS","H. B. PARKS; V. L. CORY",,"",,,,,
"PARRA","G. PARRA",,"",,,,,
"PATRICIA","PATRICIA MAGAÑA RUEDA; RUÁN S. ALMEIDA; MA. GUADALUPE AYALA; RICARDO AYALA",,"",,,,,
"PATRICIA","PATRICIA MORENO; SILVIA CASTILLO; FUENSANTA RODRÍGUEZ",,"",,,,,
"PAULA-SOUZA","PAULA-SOUZA, J.; FERRUCCI, M.S.; MEZA TORRES, E.I.",,"",,,,,
"PAULA-SOUZA","PAULA-SOUZA, J.; FERRUCCI, M.S.; RANDO, J.G.; MEZA TORRES, E.I.",,"",,,,,
"PAULA-SOUZA","PAULA-SOUZA, J.;FERRUCCI, M.S.,MEZA TORRES, E.I.",,"",,,,,
"PAULA-SOUZA","PAULA-SOUZA, J.;FERRUCCI, M.S.,RANDO, J.G.,MEZA TORRES, E.I.",,"",,,,,
"PAVAO","PAVÃO, OC;PAVÃO, O.C.",,"",,,,,
"PAVETTI","C. V. PAVETTI",,"",,,,,
"PECKENPAUGH","MRS. PECKENPAUGH",,"",,,,,
"PEDERSEN","PEDERSEN T.M.",,"",,,,,
"PEDERSEN","PEDERSEN, TROELS M.",,"",,,,,
"PEDRAZA","Y. PEDRAZA",,"",,,,,
"PELOTTO","PELOTTO, J. P.",,"",,,,,
"PENA-CHOCARRO","M. PEÑA-CHOCARRO, J. DEEGEA-JUVINEL, P. GONZÁLEZ-PARINI, J. CARTES",,"",,,,,
"PENA-CHOCARRO","M. PEÑA-CHOCARRO;J. DE EGEA JUVINEL;F. GONZÁLEZ P.;J. CARTES",,"",,,,,
"PENNINGTON","PENNINGTON TD; TENORIO G",,"",,,,,
"PENNINGTON","T. D. PENNINGTON;TENORIO, GUILLERMO",,"",,,,,
"PEREIRA","ADMUNDO PEREIRA",,"",,,,,
"PEREZ","DÍAZ PÉREZ, C. N.;GIL NOVOA, J. E.;MERCADO, J.;MORALES PUENTES, M. E.",,"",,,,,
"PEREZ-GARCIA","EDUARDO A. PÉREZ-GARCÍA",,"",,,,,
"PETER","PETER LOWY",,"",,,,,
"PETERS","R. E. K. PETERS",,"",,,,,
"PHILIP","PHILIP BUNCH; O. ARBOLEDA; J. BRAND; J. SANTA",,"",,,,,
"PIETROBOM","PIETROBOM DA SILVA, MR; ZARDINI, EM",,"",,,,,
"PIETROBOM-SILVA","PIETROBOM-SILVA, MR;PIETROBOM-SILVA, M.R.,ZARDINI, E.M.",,"",,,,,
"PIRANI","J.R. PIRANI; I. CORDEIRO & D.C.ZAPPI",,"",,,,,
"PLOWMAN","PLOWMAN & ALCORN",,"",,,,,
"POPOFF","O. POPOFF;G. CUADRADO",,"",,,,,
"POPOFF","POPOFF, O.",,"",,,,,
"POTT","A. POTT; C.N. DA CUNHA; V.J. POTT; C.C.F. DE TAVARES",,"",,,,,
"POTT","POTT, A.; CUNHA, C. N. DA; POTT, V. J. & TAVARES, C. C. DE F.",,"",,,,,
"POTT","POTT, A; CUNHA, CN; POTT, VJ; TAVARES, CCF",,"",,,,,
"POTT","POTT, A;CUNHA, C.N.,POTT, A.,POTT, V.J.,TAVARES, C.C.F.",,"",,,,,
"PRINGLE","PRINGLE CG",,"",,,,,
"PRINGLE","PRINGLE, C.C.",,"",,,,,
"PRINGLE","PRINGLE, C.G. (NO. S.N.)",,"",,,,,
"PROVANCE","MITCH PROVANCE; JEFFREY S. ROSS-IBARRA",,"",,,,,
"PURPUS","PURPUS",,"",,,,,
"PURPUS","PURPUS CA",,"",,,,,
"PURPUS","PURPUS, C.A.",,"",,,,,
"QUEIROZ","L.P. QUEIROZ; R.SALAS; W.MEDINA",,"",,,,,
"QUEIROZ","L.P. QUEIROZ;R.SALAS,W.MEDINA",,"",,,,,
"QUEIROZ","QUEIROZ, L.P. DE; R. SALAS & W. MEDINA",,"",,,,,
"QUINONES","L. QUIÑONES",,"",,,,,
"RAMIREZ","A. RAMIREZ B.",,"",,,,,
"RAMIREZ","CARLOS RAMÍREZ S.",,"",,,,,
"RAMIREZ","F. RAMÍREZ R.; J. GARCÍA P.; A. SUÁREZ F.",,"",,,,,
"RAMIREZ","F. RAMÍREZ;MARIO VÉLIZ",,"",,,,,
"RAMIREZ","R. RAMÍREZ D.; J. FONSECA; F. RODRÍGUEZ; F. CUPUL; A. DELGADILLO",,"",,,,,
"RAMIREZ","RAMIREZ,C.",,"",,,,,
"RAMIREZ-DELGADILLO","R. RAMÍREZ-DELGADILLO",,"",,,,,
"REBMAN","JON P. REBMAN; J. L. ZUNIGA",,"",,,,,
"REBMAN","JON P. REBMAN; J.L. LEON DE LA LUZ, J.J. PÉREZ NAVARRO, M. DOMINGUEZ",,"",,,,,
"REBMAN","JON P. REBMAN; JOSE LUIS ZUNIGA",,"",,,,,
"REBMAN","JON REBMAN; JOSE LUIS LEON DE LA LUZ, J. PEREZ, M. DOMINGUEZ",,"",,,,,
"REBMAN","JON REBMAN; JOSÉ LUIS ZUÑIGA",,"",,,,,
"REBMAN","JON REBMAN; S. VANDERPLANK, B. WILDER, E. EZCURRA, ETC.",,"",,,,,
"REICHENBACHER","F. REICHENBACHER",,"",,,,,
"REINA","A. L. REINA G.; T. R. VAN DEVENDER; D. A. YETMAN",,"",,,,,
"REINA","A.L. REINA G.; T.R. VAN DEVENDER; R.W. VAN DEVENDER; S. MINTER; J.A. SAAVEDRA M.",,"",,,,,
"REINA","A.L. REINA; J. SÁNCHEZ E.; G.G. MORALES; T. FUENTES; O. GUTIÉRREZ",,"",,,,,
"REIS","R.C.C. REIS; M.S AAVEDRA & C.S.AGUIAR",,"",,,,,
"RENDEROS","M. A. RENDEROS",,"",,,,,
"RENDEROS","MIGUEL A. RENDEROS;ET AL.",,"",,,,,
"RENDON","H. RENDÓN C.",,"",,,,,
"RESENDE","G.S.Z.RESENDE; C.FARNEY, J.C.GOMES",,"",,,,,
"RIBAS","O.S. RIBAS; F.C. STRAUBE E A. URBEN-FILHO",,"",,,,,
"RIBAS","RIBAS, OS; SILVA, JM; STRAUBE, FC",,"",,,,,
"RIBAS","RIBAS, OS; STRAUBE, FC; URBEN FILHO, A",,"",,,,,
"RIBAS","RIBAS, OS;RIBAS, O.S.,STRAUBE, F.C.,URBEN FILHO, A.",,"",,,,,
"RIBAS","RIBAS, OS;SILVA, J.M.,RIBAS, O.S.,STRAUBE, F.C.",,"",,,,,
"RICARDO","RICARDO RUEDA; BISMARK SÁNCHEZ",,"",,,,,
"RICHARD","RICHARD S. FELGER",,"",,,,,
"RICHARD","RICHARD S. FELGER; ALBERTO BÚRQUEZ",,"",,,,,
"RICHARD","RICHARD S. FELGER; ALEXANDER RUSSELL",,"",,,,,
"RICHARD","RICHARD S. FELGER; ALEXANDER RUSSELL, JEAN RUSSELL",,"",,,,,
"RICHARD","RICHARD S. FELGER; BENJAMIN T. WILDER AND ABRAM FLEISHMAN",,"",,,,,
"RICHARD","RICHARD S. FELGER; BENJAMIN T. WILDER AND JUAN PABLO GALLO REYNOSO",,"",,,,,
"RICHARD","RICHARD S. FELGER; EXEQUIEL EZCURRA, ET AL.",,"",,,,,
"RICHARD","RICHARD S. FELGER; FERNANDO MURILLO RENDÓN; RACHEL MURILLO; BÁRBARA STRAUB",,"",,,,,
"RICHARD","RICHARD S. FELGER; OSCAR SOULE",,"",,,,,
"RICHARD","RICHARD S. FELGER; ROBIN THOMAS",,"",,,,,
"RICHARD","RICHARD SPJUT",,"",,,,,
"RICHARD","RICHARD SPJUT; RICHARD MARIN",,"",,,,,
"RICHARDSON","A. RICHARDSON; A. SOILS, S. BENN",,"",,,,,
"RICHARDSON","ALFRED THOMAS RICHARDSON;A. SOLÍS;S. BENN",,"",,,,,
"RIVERA","JAIME RIVERA H.; SILVIA H. SALAS M.; E. TORRES B.; R. GARCÍA S.",,"",,,,,
"RIVERA","JAIME RIVERA; E. VEGA",,"",,,,,
"ROBLETO","WALTER ROBLETO",,"",,,,,
"RODRIGUES","SCHÜTZ RODRIGUES, R; GALVÃO, JC",,"",,,,,
"RODRIGUEZ","DAGOBERTO RODRÍGUEZ;JORGE MONTERROSA S.;E. QUIJADA;A. TEJADA",,"",,,,,
"RODRIGUEZ","DAGOBERTO RODRÍGUEZ;W. PEÑA",,"",,,,,
"RODRIGUEZ","RODRIGUEZ FM",,"",,,,,
"RODRIGUEZ","RODRÍGUEZ W.;SÁNCHEZ H.",,"",,,,,
"RODRIGUEZ","RODRÍGUEZ,D., MONTERROSA,J., QUIJADA,E. & TEJADA,A.",,"",,,,,
"ROLDAN","ROLDÁN F.;GARCÍA L.;SYLVA G.",,"",,,,,
"ROMERO","JORGE HERNÁN TORRES ROMERO",,"",,,,,
"ROMO","C. G. ROMO",,"",,,,,
"ROMO","C. ROMO G.",,"",,,,,
"ROMO","C.G. ROMO",,"",,,,,
"RUEDA","R. M. RUEDA;A. CERDA;E. HERNÁNDEZ;M. MÉNDEZ;D. MARTÍNEZ;C. MARTÍNEZ;G. LARGAESPADA;F. OBREGÓN",,"",,,,,
"RUEDA","R. M. RUEDA;B. SÁNCHEZ",,"",,,,,
"RUEDA","R. M. RUEDA;HERMES CUADROS V.",,"",,,,,
"RUEDA","R. M. RUEDA;J. MASÍS;L. D. PAGUAGA;N. TOVAL",,"",,,,,
"RVA","RVA; FHA; IFVL",,"",,,,,
"RVA","RVA; GBB",,"",,,,,
"RVA","RVA; HAH; JAHV; IFVL",,"",,,,,
"RZEDOWSKI","J. RZEDOWSKI; MCVAUGH",,"",,,,,
"RZEDOWSKI","RZEDOWSKI",,"",,,,,
"SALAS","S. H. SALAS M.; M. ELORSA C.; L. SCHIBLI",,"",,,,,
"SALAS","S. SALAS M.; J. RIVERA H.; C. PERRET; M. ELORSA C.",,"",,,,,
"SALAS","S. SALAS M.; J. RIVERA H.; R. GARCÍA S.; J. MEAVE DEL C.",,"",,,,,
"SALAS","S. SALAS; A. SÁNCHEZ M.; G. JUÁREZ G.; EDUARDO A. PÉREZ-GARCÍA",,"",,,,,
"SALAZAR","C. SALAZAR;C. OQUELÍ;F. ASCENICO",,"",,,,,
"SALAZAR","SALAZAR,C., OQUELÍ,C. & ASCENCIO,F.",,"",,,,,
"SALGADO","C.R. SALGADO",,"",,,,,
"SALINAS","ANTONIO SALINAS TOVAR; EUSTOLIO MTZ. C.",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.; A. NAVA Z.",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.; A. NAVA Z.; S.H. SALAS M.",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.; A. NAVA-ZAFRA; K. VELASCO-GUTIÉRREZ",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.; A. NAVA-ZAFRA; S. SALAS",,"",,,,,
"SANCHEZ","A. SÁNCHEZ M.; M. R. HERNÁNDEZ-SERNAS; M. F. MALDONADO-RUÍZ; A. NAVA-ZAFRA",,"",,,,,
"SANCHEZ","F. SÁNCHEZ L.",,"",,,,,
"SANCHEZ","F. SÁNCHEZ L., G. MORALES C. & K. VELASCO G.",,"",,,,,
"SANCHEZ","J.J. SÁNCHEZ; D.Z. ÁVILA-JIMÉNEZ",,"",,,,,
"SANCHEZ","J.J. SÁNCHEZ; M.C. PEÑALBA G.; I.R. ESPINOZA E.",,"",,,,,
"SANCHEZ","LUIS ROBERTO SÁNCHEZ;DANIELA CONSUEGRA",,"",,,,,
"SANCHEZ","LUPITA SÁNCHEZ A.;RENÉ GUILLÉN V.;E. CUÉLLAR",,"",,,,,
"SANCHEZ","LUPITA SÁNCHEZ A.;S. ORTIZ;G. PIZOTO;J.C. MEJÍA",,"",,,,,
"SANCHEZ","ZENAIDA GARNICA SÁNCHEZ",,"",,,,,
"SANDERS","A.C. SANDERS; JAN WEST, ELOY RODRIGUEZ",,"",,,,,
"SANDERS","ANDREW C. SANDERS;THOMAS R. VAN DEVENDER",,"",,,,,
"SANDERS","SANDERS",,"",,,,,
"SANDINO","J. C. SANDINO;W. ROBLETO T.",,"",,,,,
"SANDINO","JUAN C. SANDINO",,"",,,,,
"SANTANA","F. J. SANTANA M.; N. CERVANTES A.",,"",,,,,
"SANTANA","F.J. SANTANA M.; N. CERVANTES A.",,"",,,,,
"SANTIAGO","B. SANTIAGO H.",,"",,,,,
"SARAVIA","CARLOS SARAVIA T.;ET AL.",,"",,,,,
"SARKINEN","SÄRKINEN, TIINA",,"",,,,,
"SARMIENTO","JENNY CAROLINA SARMIENTO ESPITIA",,"",,,,,
"SASTOQUE","SASTOQUE, E.;MEJÍA, S.;PINZÓN, V.",,"",,,,,
"SAYAGO","SAYAGO, M.",,"",,,,,
"SAYNES","A. SAYNES V.",,"",,,,,
"SAYNES","A. SAYNES V.; A. SÁNCHEZ M.; A. NAVA Z.",,"",,,,,
"SAYNES","A. SAYNES V.; A. SÁNCHEZ M.; A. NAVA ZAFRA",,"",,,,,
"SAYNES","A. SAYNES; A. SÁNCHEZ M.; A. NAVA-ZAFRA",,"",,,,,
"SAYNES","A. SAYNES; A. SÁNCHEZ M.; G. JUÁREZ G.",,"",,,,,
"SAYNES","A. SAYNES; A. SÁNCHEZ; A. NAVA",,"",,,,,
"SCHEIDEGGER","D. SCHEIDEGGER;MISAEL ELORSA C.",,"",,,,,
"SCHININI","A. SCHININI, C. SARAVIA TOLEDO & R. NEUMANN",,"",,,,,
"SCHININI","A. SCHININI; R.VANNI, S.CACERES",,"",,,,,
"SCHININI","AURELIO SCHININI;CARLOS SARAVIA T.;ROBERT NEUMANN",,"",,,,,
"SCHININI","AURELIO SCHININI;O. AHUMADA",,"",,,,,
"SCHININI","AURELIO SCHININI;RAMÓN A. PALACIOS",,"",,,,,
"SCHININI","AURELIO SCHININI;RICARDO O. VANNI;SERGIO CÁCERES M.",,"",,,,,
"SCHININI","SCHININI",,"",,,,,
"SCHININI","SCHININI A; PIRE SM",,"",,,,,
"SCHININI","SCHININI, A.; MOLERO BRIONES, JULIÀ; DURÉ RODAS, REINILDA & QUINTANA, M.",,"",,,,,
"SCHININI","SCHININI, A; CRISTOBÁL, CL",,"",,,,,
"SCHININI","SCHININI, A; CROVETTO, RM",,"",,,,,
"SCHININI","SCHININI, A; VANNI, R; CÁCERES, S",,"",,,,,
"SCHININI","SCHININI, A;A. SCHININI,C.L. CRISTÓBAL,CRISTÓBAL, CL",,"",,,,,
"SCHININI","SCHININI, A;CROVETTO, R.M.,SCHININI, A.",,"",,,,,
"SCHININI","SCHININI, A;SCHININI, A.,CRISTOBÁL, C.L.",,"",,,,,
"SCHININI","SCHININI, A;VANNI, R.,SCHININI, A.,CÁCERES, S.",,"",,,,,
"SCHWARZ","C.J. SCHWARZ",,"",,,,,
"SCHWARZ","SCHWARZ",,"",,,,,
"SCIPIONI","SCIPIONI, M. .C.;MEYER, E. .A.",,"",,,,,
"SEIGLER","DAVID S. SEIGLER",,"",,,,,
"SELER","SELER,C. & SELER,E.",,"",,,,,
"SERRANO","MARTHA SERRANO;JEANETH VILLALOBOS;ARIEL LLIULLY;J. ALBERTO  PEÑARANDA;REINALDO LOZANO",,"",,,,,
"SERRANO","SERRANO, M.",,"",,,,,
"SHILLER","IVAN SHILLER",,"",,,,,
"SIDWELL","K. SIDWELL, G. DAVIDSE, A. MONRO, J. QUEZADA DIAZ,",,"",,,,,
"SIDWELL","KAREN J. SIDWELL;GERRIT DAVIDSE;ALEX K. MONRO;JORGE QUEZADA DÍAZ;ET AL.",,"",,,,,
"SIDWELL","KAREN SIDWELL, GERRIT DAVIDSE, ALEX MONRO, MARIO SAGASTIZADO & TOD CARDWELL",,"",,,,,
"SIDWELL","SIDWELL,K., DAVIDSE,G., MONRO,A., QUEZADA DÍAZ,J. & FUNDACION CORDES",,"",,,,,
"SILVA","M.P. DA SILVA; V.J. POTT; L.M. PARRON",,"",,,,,
"SILVA","SILVA, M. P. DA; POTT, V. J. & PARRON, L. M.",,"",,,,,
"SILVERSTONE-SOPKIN","PHILIP A. SILVERSTONE-SOPKIN;NÉSTOR PAZ Z.;R. T. GONZÁLEZ",,"",,,,,
"SILVIA","SILVIA H. SALAS M.; A. SÁNCHEZ; G. JUÁREZ; E. PÉREZ",,"",,,,,
"SILVIA","SILVIA H. SALAS M.; ARTURO SÁNCHEZ; G. JUÁREZ; E. PÉREZ",,"",,,,,
"SILVIA","SILVIA H. SALAS M.; J. RIVERA H.; MISAEL ELORSA C.",,"",,,,,
"SILVIA","SILVIA H. SALAS M.; J. RIVERA H.; MISAEL ELORSA C.; E. MARTÍNEZ S.",,"",,,,,
"SILVIA","SILVIA H. SALAS M.; J. RIVERA H.; R. GARCÍA S.; JORGE MEAVE DEL CASTILLO; MISAEL ELORSA C.",,"",,,,,
"SIMA","P. SIMÁ P.; R. DURÁN G.; A. DORANTES; L. LÓPEZ",,"",,,,,
"SIMA","P. SIMÁ; R. DURÁN; A. DORANTES; L. LÓPEZ",,"",,,,,
"SIMPSON","DONALD R. SIMPSON;JOSE SCHUNKE VIGO",,"",,,,,
"SIQUEIRA","E.L. SIQUEIRA ET AL.",,"",,,,,
"SMITH","SMITH, L.B. 14119; KLEIN, R.M.",,"",,,,,
"SMITH","SMITH, L.B.;KLEIN, R.M.",,"",,,,,
